,No.,社名,担当者名,メール,事業内容,FactLinkウェブサイト,住所
j,416,PAB テクノロジー,,linh@pabcnc.com.vn,CNC工作機械、合金工具鋼、精密機械部品加工,https://www.fact-link.com.vn/mem_profile.php?id=00001145&page=00001587&lang=jp,会社名
j,417,"Phuong Vien Trading and Engineering Co., Ltd",,order@phuongvien.com.vn,"Specialize in providing Cutting tools, measuring tools, and industrial equipment.",https://www.fact-link.com.vn/mem_profile.php?id=00001147&page=00001637&lang=jp,会社名
j,418,Dinh Nam  株式会社,,dinhnamcasting@yahoo.com,製品の専門家 機械的な加工、冶金産業支援の。,https://www.fact-link.com.vn/mem_profile.php?id=00001148&page=00001588&lang=jp,会社名
j,419,"YUKEN SEA CO., LTD",,yo.okuda@yuken-sea.com,油研ブランドの油圧機器（ポンプ、バルブ）、油圧ユニット、自動切屑圧縮機”KIRIKO”等を販売,https://www.fact-link.com.vn/mem_profile.php?id=00001164&page=00001609&lang=jp,会社名
j,420,ストロングウェイ,,aya@swico.com.tw,ダイカスト（内製）、鍛造、重力鋳造、精密金属加工、塗装、組立、各種内燃機関部品の加工,https://www.fact-link.com.vn/mem_profile.php?id=00001174&page=00001631&lang=jp,会社名
j,423,ハリマFC　株式会社,,info@nissin.vn,農業およびガーデニング用品・家庭用刃物の製造・販売、板金部品加工および組立,https://www.fact-link.com.vn/mem_profile.php?id=00001183&page=00001654&lang=jp,会社名
j,424,タイショウ＆7 パッケージ テクノロジー (TS7 ),,tuants7@in7.com.vn,ベトナム国内で印刷からパッケージ製造まで。紙箱、クリアケース、軟包材、ラベル、販促物、資材関連、プラスチック成形品,https://www.fact-link.com.vn/mem_profile.php?id=00001184&page=00001661&lang=jp,会社名
j,426,ウォーターライン ベトナム,,info@waterlinevietnam.com,工場現場や商業スペースを革新的技術で冷房します。,https://www.fact-link.com.vn/mem_profile.php?id=00001189&page=00001673&lang=jp,会社名
j,433,"Van Nga Co.,Ltd",,vanngaplastic@vnn.vn,プラスチック押出チューブ製造、化粧品・医薬品・食品用ポリエチレン（PE）チューブ,https://www.fact-link.com.vn/mem_profile.php?id=00001209&page=00001694&lang=jp,会社名
j,434,ハイナム スウィッチボード マニュファクチュア,,hainam-panel@hainamswitchboards.com,10年以上の実績のある配電盤製作会社です。,https://www.fact-link.com.vn/mem_profile.php?id=00001210&page=00001693&lang=jp,会社名
j,445,TBM ミンファット プロデューシング トレーディング,,minhphat@tbm.com.vn,プラスチック金型設計・製作、プラスチック射出成形メーカー,https://www.fact-link.com.vn/mem_profile.php?id=00001260&page=00001771&lang=jp,会社名
j,446,"TAN DAI PHU SY Co.,Ltd",,kimtin@tandaiphusy.com.vn,The authority distributor in delivery and maintenance for REINER air compressor,https://www.fact-link.com.vn/mem_profile.php?id=00001261&page=00001772&lang=jp,会社名
j,447,ベト産業株式会社グループ,,info@cnvgroup.com.vn,工場・プラントの建設、工場内システムの構築・設置、 機械部品加工、産業機械の設計・製作 ・販売,https://www.fact-link.com.vn/mem_profile.php?id=00001263&page=00001774&lang=jp,会社名
j,456,入船ダイナミックシッピングベトナム,,taniguchi@irifune-vietnam.com.vn,日本品質およびベトナムローカル価格でのフォワーディングサービスをご提供いたします。,https://www.fact-link.com.vn/mem_profile.php?id=00001295&page=00001851&lang=jp,会社名
j,458,Viet Nhat Industry Joint Stock Company,,susan@vietnhat.net,電解めっきのトータルソリューション（めっき処理設備の設計・製造から据付、めっき薬品の開発・製造、めっき処理サービス、治具製作）,https://www.fact-link.com.vn/mem_profile.php?id=00001307&page=00001857&lang=jp,会社名
j,460,Vit Viet インダストリープロダクション＆トレーディング,,sale@vitviet.com,ベトナムで締結部品（M&E 製品、家具用締結部品、機械部品、ネジ、ボルト、ナット）の製造・販売,https://www.fact-link.com.vn/mem_profile.php?id=00001309&page=00001860&lang=jp,会社名
j,462,Viet Nhat Tan 精密機械加工,,vntpmthanhhung@gmail.com,精密機械加工、および工具販売。ベトナムローカル価格で生産し、コスト削減を実現！,https://www.fact-link.com.vn/mem_profile.php?id=00001315&page=00001866&lang=jp,会社名
j,463,ベトサン 有限会社,,info@vietsan.com.vn,精密機械加工、および医療機器の生産,https://www.fact-link.com.vn/mem_profile.php?id=00001316&page=00001867&lang=jp,会社名
j,473,ベト ティン 建設および貿易有限会社は,,info@viettinh.com.vn,輸入した化学原料を供給することに専門店。,https://www.fact-link.com.vn/mem_profile.php?id=00001346&page=00001927&lang=jp,会社名
j,475,"M.D.K Co.,Ltd",,sales@mdk4i.com.vn,1989年から、高品質なスチール製工業用家具ソリューションをお届けします。,https://www.fact-link.com.vn/mem_profile.php?id=00001355&page=00001939&lang=jp,会社名
j,477,旭ケミカルス(ベトナム) トレーディング,,hamaguchi@asachemi.co.jp,樹脂成型製品(医療部品)、工業用製品・理化学製品の販売,https://www.fact-link.com.vn/mem_profile.php?id=00001361&page=00001956&lang=jp,会社名
j,481,ダイナムサンコー,,dainamsanco@yahoo.com.vn,熱風発生機・乾燥機・ヒーター・熱電対のことならダイナムサンコー！,https://www.fact-link.com.vn/mem_profile.php?id=00001388&page=00001974&lang=jp,会社名
j,483,キリウス ベトナム,,sales@kilews.com.vn,キリウスグループは小ねじ用電動ドライバーの生産台数世界No.1の電動ドライバーメーカーです。,https://www.fact-link.com.vn/mem_profile.php?id=00001401&page=00002514&lang=jp,会社名
j,486,"Nhuan Tien Co.,Ltd.",,nmk@nhuantien.com,ファインセラミックス・超硬材をはじめとする各種機械要素部品の研削・研磨,https://www.fact-link.com.vn/mem_profile.php?id=00001411&page=00002019&lang=jp,会社名
j,487,近藤ベトナム,,y.sawato@ks-nagoya.co.jp,ステンレス鋳造（ロストワックス製法）による精密鋳造品を提供しております。,https://www.fact-link.com.vn/mem_profile.php?id=00001412&page=00002018&lang=jp,会社名
j,489,"Anmi Tools Co.,Ltd.（アンミ ツールス 株式会社）",,info@anmitools.com,欧州SANDVIKグループ企業のDORMER&PRAMET社の切削工具販売、特殊ツール、ホルダー製造、販売。,https://www.fact-link.com.vn/mem_profile.php?id=00001416&page=00002021&lang=jp,会社名
j,492,ドラゴンハウジング,,dragonhousing@gmail.com,ドラゴンハウジングはベトナム・ホーチミンの不動産屋です。（アパート・サービスアパート・マンション・一軒家・オフィス）賃貸住宅のご紹介,https://www.fact-link.com.vn/mem_profile.php?id=00001447&page=00002050&lang=jp,会社名
j,495,ケイデンベトナム有限会社,,uehara@k-den.biz,金属表面処理加工（無電解ニッケルめっき、亜鉛めっき、錫めっきなど）,https://www.fact-link.com.vn/mem_profile.php?id=00001459&page=00002055&lang=jp,会社名
j,511,サンフィールド ベトナム,,suzuki@hinoeng.co.jp,基板実装、ハーネス組立、樹脂成形、サブアッセンブリ～完成品まで,https://www.fact-link.com.vn/mem_profile.php?id=00001526&page=00002141&lang=jp,会社名
j,513,Hong Thinh JSC,,phuoc@hongthinh.com,電気パネルの設計・製作、電気設備工事 & メンテナンスサービス、自動制御システム & エンジニアリングサービス,https://www.fact-link.com.vn/mem_profile.php?id=00001541&page=00002151&lang=jp,会社名
j,515,ミスミ ベトナム,,cs@misumi.com.vn,世界の製造を支えるリーディングカンパニー！ MISUMI VIETNAM,https://www.fact-link.com.vn/mem_profile.php?id=00001548&page=00002155&lang=jp,会社名
j,523,"CNC3S CO.,LTD",,contact@cnc3s.com,金属加工。精密機械加工部品。単品からロッドまでの受注。,https://www.fact-link.com.vn/mem_profile.php?id=00001623&page=00002260&lang=jp,会社名
j,524,日伝ベトナム,,keisuke.sangawa@nichiden.com.vn,海外生産の課題解決に貢献する提案力と確かな商品調達力,https://www.fact-link.com.vn/mem_profile.php?id=00001625&page=00002266&lang=jp,会社名
j,534,明和ベトナム 有限会社（EPE企業）,,kondo@meiwainc.jp,サーボプレス、レーザー加工、切削加工、ロボット等多様な技術でお客さまの抱えている問題を解決します。,https://www.fact-link.com.vn/mem_profile.php?id=00001667&page=00002340&lang=jp,会社名
j,535,OSGベトナム,,csvn@osg.com.vn,タップ、エンドミル、ドリル、ダイス、ゲージ等各種機械工具の製造・販売、工具再研磨工場の運営。,https://www.fact-link.com.vn/mem_profile.php?id=00001668&page=00002344&lang=jp,会社名
j,541,グエンジアテック会社,,info@nguyengiatech.net,モバイルアプリケーションとウェブの関してサービスを提供します。,https://www.fact-link.com.vn/mem_profile.php?id=00001692&page=00002402&lang=jp,会社名
j,542,パナソニック エコソリューションズ創研株式会社,,tuantran.vjqc@gmail.com,品質管理・ものづくり改善・人材育成をベトナム国内でご支援いたします。,https://www.fact-link.com.vn/mem_profile.php?id=00001696&page=00002411&lang=jp,会社名
j,543,"Hibex Vietnam Co., Ltd",,hibexvietnam@hibex.com.sg,ベトナムで電動ドライバー・トルクメーターの販売、修理、校正はお任せください。,https://www.fact-link.com.vn/mem_profile.php?id=00001698&page=00002413&lang=en,Company Name
j,544,光洋産業ベトナム,,kuwako@koyoweb.com,木材用接着剤（KOYOBOND）およびプラスチック製食品容器の製造販売,https://www.fact-link.com.vn/mem_profile.php?id=00001702&page=00002421&lang=jp,会社名
j,548,"Toan Tam Steel & Welded Mesh Co.,Ltd",,info@toantam.vn,ベトナムの溶接メッシュ,https://www.fact-link.com.vn/mem_profile.php?id=00001714&page=00002438&lang=vn,"C?NG TY TNHH FACT-LINK MARKETPLACE??a ch?: 602/43 ?i?n Bi?n Ph?, Ph??ng 22, Qu?n B?nh Th?nh, Th?nh ph? H? Ch? MinhS?T: 0888 767 138 - Email: info@fact-link.com.vnS? GCN?KDN (MST): 0313 560 828C?p ng?y:  03/12/2015 b?i S? K? Ho?ch v? ??u T? TP. HCM"
j,550,タンガロイベトナム駐在員事務所,,tuyen@tungaloy.vn,切削工具ならおまかせ下さい！ 切削工具の短納期・低価格で対応可能！,https://www.fact-link.com.vn/mem_profile.php?id=00001720&page=00002528&lang=jp,会社名
j,553,"Vina Blue Zone Co.,Ltd.",,vnbz.minhtai@gmail.com,金属製品・・プレス加工・各種金型・タップ・溶接・バレル研磨・FRP製品・樹脂製品・粉体塗装・カチオン塗装,https://www.fact-link.com.vn/mem_profile.php?id=00001730&page=00002452&lang=jp,会社名
j,556,Viet Nhat 精密機械加工,,trung_nguyen@vietnhatprecision.com,NC旋盤・マシニングセンタ・フライス盤による金属・樹脂部品精密加工、仕上げ、ベトナムでの現地調達。,https://www.fact-link.com.vn/mem_profile.php?id=00001745&page=00002472&lang=jp,会社名
j,557,コベルコ コンプレッサ ベトナム,,onuki.kohei@kobelco.com,エアコンプレッサー、ヒートポンプ、関連付帯機器の販売 、アフターサービス、省エネ、改善提案,https://www.fact-link.com.vn/mem_profile.php?id=00001750&page=00002483&lang=jp,会社名
j,558,"KYOUWA VIETNAM Co.,Ltd. (キョウワ ベトナム)",,minami@kk-kyouwa.co.jp,"高品質の板金加工, 日本品質の溶接部品, 自動機, 自動化設備, OEM生産",https://www.fact-link.com.vn/mem_profile.php?id=00001771&page=00002512&lang=jp,会社名
j,561,Kamogawa ベトナム,,katsura@kamog.co.jp,カモガワは切削・研削のプロフェッショナル企業。工業用資材の輸入販売、切削工具の設計・販売、再研磨,https://www.fact-link.com.vn/mem_profile.php?id=00001802&page=00002547&lang=jp,会社名
j,564,ニャットミン デザイン & マニュファクチュア,,info@nmmold.com,精密金型の設計・製造および高機能プラスチック射出成形,https://www.fact-link.com.vn/mem_profile.php?id=00001813&page=00002561&lang=jp,会社名
j,565,H? THANH（ハー　タン）工業株式会社,,sales@hathanhcorp.com,ANTI - CORROSION TECHNOLOGY - RUBBER LINING PROTECTION,https://www.fact-link.com.vn/mem_profile.php?id=00001817&page=00002562&lang=jp,会社名
j,567,トモエレクトロ ベトナム,,Vie@tomo-ele.com,ベトナムでBGA/ CSPリワーク・リボール、基板修理 、試作実装なら、お任せください。,https://www.fact-link.com.vn/mem_profile.php?id=00001827&page=00002574&lang=jp,会社名
j,571,株式会社 ベトナム トミタ,,khyugaji@tomita.com.vn,工作機械、工具・機器・測定、FA商品など、数万アイテムにも及ぶ商品を取り揃えております。,https://www.fact-link.com.vn/mem_profile.php?id=00001852&page=00002597&lang=jp,会社名
j,574,サクラソニックベトナム有限会社,,takano@sakurasonicvn.com,油圧ユニットの事ならサクラソニックベトナムにお任せください。,https://www.fact-link.com.vn/mem_profile.php?id=00001856&page=00002599&lang=jp,会社名
j,575,"名和精密ベトナム 有限会社（Nawa Precision Vietnam Co.,Ltd）",,sale_2@vnawa.com.vn,ベトナムで自動旋盤での精密金属加工及びプラスチックマグネット成型を行っております,https://www.fact-link.com.vn/mem_profile.php?id=00001862&page=00002609&lang=jp,会社名
j,577,Tr??ng T?n 炉サービス有限責任会社,,long@ttf-c.com,"Specializing in produce, manufacture, installation, fix of aluminum and copper furnac",https://www.fact-link.com.vn/mem_profile.php?id=00001887&page=00002638&lang=jp,会社名
j,579,トーイン ベトナム,,toin-vn@toin-vn.com.vn,紙箱、クリアケース、ブリスター台紙、その他包装資材などパッケージの一貫生産,https://www.fact-link.com.vn/mem_profile.php?id=00001902&page=00002651&lang=jp,会社名
j,581,CX テクノロジーベトナム株式会社,,sales_vn@mail.cxtechnology.com,冷間鍛造の専門メーカー！45年の経験を活かした金型設計・製作から冷間鍛造、熱処理、 切削加工、表面処理、品質管理まで一貫化生産。,https://www.fact-link.com.vn/mem_profile.php?id=00001908&page=00002655&lang=jp,会社名
j,584,VSEエンジニアリング株式会社,,quangha@vsesm.com.vn,ベトナムの精密板金製造,https://www.fact-link.com.vn/mem_profile.php?id=00001928&page=00002671&lang=jp,会社名
j,591,古林工業株式会社 ベトナム（FKK ベトナム）,,sales@fkkvn.com,ベトナムでエルボ、ティー、レジューサ、キャップ等の溶接式管継手を製造・販売,https://www.fact-link.com.vn/mem_profile.php?id=00001979&page=00002702&lang=jp,会社名
j,592,ダイワランス　インターナショナル,,info@daiwalance.com.vn,電炉製鋼用カロライズランスパイプの製造・販売,https://www.fact-link.com.vn/mem_profile.php?id=00001987&page=00002703&lang=jp,会社名
j,595,パンチ工業 ベトナム 株式会社,,senior-cs@punch.com.vn,プラスチック金型用部品、プレス金型用部品、特注部品の製造・販売,https://www.fact-link.com.vn/mem_profile.php?id=00002013&page=00002747&lang=jp,会社名
j,597,日本電計ベトナム,,info_ndv@n-denkei.com.vn,計測器のご購入のご検討、その他計測器に関することは是非お問い合わせください！,https://www.fact-link.com.vn/mem_profile.php?id=00002018&page=00002748&lang=jp,会社名
j,609,Green Label Mechanical Corporation,,hong@glm.com.vn,Professionals of machine parts and the details in the field of mechanical engineering,https://www.fact-link.com.vn/mem_profile.php?id=00002087&page=00002804&lang=jp,会社名
j,610,HAYEN CORPORATION,,sales-hn@hayenind.com.vn,業務用厨房機器 洗濯関連機器のメーカ,https://www.fact-link.com.vn/mem_profile.php?id=00002089&page=00002807&lang=jp,会社名
j,611,ビンケエス,,info@vincaes.com,製品設計・開発アウトソーシング、CAD/CAE受託サービス、人事・トレーニング、ビジネスマッチング,https://www.fact-link.com.vn/mem_profile.php?id=00002091&page=00002810&lang=jp,会社名
j,612,工業機械及び工業自動化　有限会社,,support@idmea.com,機械装置・生産設備・産業用運送システムのコンサティング・設計・製造,https://www.fact-link.com.vn/mem_profile.php?id=00002094&page=00002813&lang=jp,会社名
j,614,INNOVE テクノロジーデベロップメント有限会社 /  INNOVE PLMソリューションズ有限会社,,huongnt@innove.com.vn,CAD/CAM/CAE/PDM/PLM 、生産システムコンサルティング・導入。ベトナムにおけるSolidworks製品の販売・導入の正規代理店,https://www.fact-link.com.vn/mem_profile.php?id=00002104&page=00002819&lang=jp,会社名
j,620,オスタコム ベトナム,,Ostacom2016@yahoo.co.jp,雨漏りしてませんか？　トイレ臭くないですか？　改修工事のプロフェッショナル『オスタコム』にお任せ下さい。,https://www.fact-link.com.vn/mem_profile.php?id=00002144&page=00002859&lang=jp,会社名
j,635,"Thien Long Engineering Co., Ltd",,vinabangtai@gmail.com,"Construct and install conveyors, bucket and mechanical machining",https://www.fact-link.com.vn/mem_profile.php?id=00002200&page=00002919&lang=jp,会社名
j,655,Ktechベトナム技術有限公司,,info@ktechvn.com.vn,製造および流通機械、電気および機械工学用ツール,https://www.fact-link.com.vn/mem_profile.php?id=00002296&page=00003010&lang=jp,会社名
j,658,Quan Mai Mold Engineering Private Enterprise,,info@quanmaimold.com,Specializing in designing and manufacturing molds for the footwear industry,https://www.fact-link.com.vn/mem_profile.php?id=00002307&page=00003021&lang=jp,会社名
j,662,エレマテックベトナム,,nhasegawa@elematec.com,エレクトロニクス製品に使用される電気材料、電子部品、オプティカル部品、材料・治工具・クリーンルーム製品・一般工業材料等,https://www.fact-link.com.vn/mem_profile.php?id=00002324&page=00003036&lang=jp,会社名
j,677,PADA TOOLS TECH COMPANY LIMITED,,saletools@padatools.com,Sale cutting tools,https://www.fact-link.com.vn/mem_profile.php?id=00002375&page=00003082&lang=jp,会社名
j,681,TK インダストリー ベトナム,,murata@tk-vn.com,鉄、ステンレスを主体とした建築向けの各種金属加工、建築用金物の設計・製作・施工,https://www.fact-link.com.vn/mem_profile.php?id=00002398&page=00003101&lang=jp,会社名
j,695,Accretech ベトナム（東京精密グループ ）,,info.hanoi@accretech.vn,精密計測機器の販売・メンテナンス (三次元座標測定機、表面粗さ測定機、輪郭形状測定機、真円度・円筒形状測定機、光学測定機器、自動計測機器、空気マイクロメータ、電気マイクロメータ 他),https://www.fact-link.com.vn/mem_profile.php?id=00002473&page=00003174&lang=jp,会社名
j,696,アベ・インダストリアル・ベトナム有限会社,,info@abess-vn.com,プレス加工（順送、単発）、板金加工、曲げ加工、穴加工、レーザ加工、ティグ溶接、ロボット溶接、スポット溶接、組立、表面処理,https://www.fact-link.com.vn/mem_profile.php?id=00002479&page=00003179&lang=jp,会社名
j,700,CSGT Metals Vietnam Joint Stock Company,,info@csmv.vn,薄物鋼板加工・販売 -  黒皮、酸洗い、冷延、電磁鋼板、表面処理鋼板、ステンレス、アルミ,https://www.fact-link.com.vn/mem_profile.php?id=00002513&page=00003210&lang=jp,会社名
j,704,東洋アイテック ベトナム 株式会社,,manabe@vntoyoitec.com,開発提案型EMS企業。　基板実装、電子機器、玩具、プラスチック製品、OEMルアー製品,https://www.fact-link.com.vn/mem_profile.php?id=00002546&page=00003236&lang=jp,会社名
j,707,ハリキ精工ベトナム,,dinhtruc@harikivn.com,ステンレス・鉄・アルミ・チタン、1個から数百万個の大量ロットまで、何でも削ります。切削・研削加工のプロ集団,https://www.fact-link.com.vn/mem_profile.php?id=00002587&page=00003274&lang=jp,会社名
j,710,VJC テクノロジー,,sales@vjctech.com.vn,アパレル産業向けCAD/ CAMシステム・機械設備・資材などのご紹介/ 販売、導入支援および保守/ 運用支援,https://www.fact-link.com.vn/mem_profile.php?id=00002610&page=00003294&lang=jp,会社名
j,711,遠藤照明ベトナム,,tanno@endo-lighting.com.vn,LED照明の販売、およびベトナムに対応したLED照明のご提案,https://www.fact-link.com.vn/mem_profile.php?id=00002612&page=00003295&lang=jp,会社名
j,728,PAN サービス,,shoheiyonezaki@panservices.vn,工場、事務所などの建物の清掃全般。 　清掃を通じて安心で快適な環境をお届けします,https://www.fact-link.com.vn/mem_profile.php?id=00002758&page=00003427&lang=jp,会社名
j,735,"Asia Paint Vietnam Co.,Ltd",,sales@asiapaintvietnam.com,金属・プラスチック・建築用塗料の製造・販売,https://www.fact-link.com.vn/mem_profile.php?id=00002839&page=00003513&lang=en,Company Name
j,736,サクラ エコロジー,,haruki@sakuraecology.com,サクラ エコロジーは、ビル・建物の清掃・設備管理・保安警備・省エネ・環境関連事業で貢献いたします。,https://www.fact-link.com.vn/mem_profile.php?id=00002848&page=00003519&lang=jp,会社名
j,738,西華産業ベトナム,,kumagai@seikavn.com,,https://www.fact-link.com.vn/mem_profile.php?id=00002867&page=00003538&lang=jp,会社名
j,743,（有）キコー ベトナム,,khanhnq@kiko.com.vn,産業用機械、機械工具、建設資材、環境関連機器の輸入・販売、　トラスコ中山㈱・室本鉄工㈱の正規販売代理店,https://www.fact-link.com.vn/mem_profile.php?id=00002885&page=00003558&lang=jp,会社名
j,749,タカラ産業ベトナム（駐在事務所）,,t-kanaya@takaranet.co.jp,物干をはじめとした 金属加工品・樹脂成形品の製造・販売,https://www.fact-link.com.vn/mem_profile.php?id=00002915&page=00003586&lang=jp,会社名
j,776,ナラサキベトナム株式会社,,sashikatakn@narasaki.co.jp,三菱電機のFA機器、ﾚｰｻﾞｰ加工機・放電加工機に関する日系正規代理店,https://www.fact-link.com.vn/mem_profile.php?id=00003031&page=00003690&lang=jp,会社名
j,785,カクショウ メタル ベトナム,,kks-9@cd.wakwak.com,真鍮（黄銅）のNC自動旋盤による金属部品加工、　アッセンブリ加工,https://www.fact-link.com.vn/mem_profile.php?id=00043526&page=00003733&lang=jp,会社名
j,806,ベトナム トータルデザイン & コンストラクション (TDC),,info@vntdc.com.vn,工業団地内の工場建築、オフィスや店舗のデザイン・設計から施工,https://www.fact-link.com.vn/mem_profile.php?id=00043590&page=00003913&lang=jp,会社名
j,830,荒井道ベトナム,,araimichi.vn@gmail.com,CNC / CMC旋盤による切削加工,https://www.fact-link.com.vn/mem_profile.php?id=00043673&page=00003859&lang=jp,会社名
j,846,Temas Engineering JSC,,tiennb@temas.vn,"Your success, our purpose",https://www.fact-link.com.vn/mem_profile.php?id=00043742&page=00003909&lang=jp,会社名
j,858,イイダ モールド ベトナム,,design.iidamoldvn@gmail.com,金型設計から部品加工まで日本の加工技術と管理体制でコストダウン提案に挑みます。,https://www.fact-link.com.vn/mem_profile.php?id=00043804&page=00003961&lang=jp,会社名
j,859,セコムベトナムセキュリティサービス,,info@secomvn.com.vn,信頼される安心を、社会へ。,https://www.fact-link.com.vn/mem_profile.php?id=00043810&page=00003963&lang=jp,会社名
j,860,Quoc Huy Technique 株式会社,,info@quochuy.com,計測学-テスト-検査-校正-分析,https://www.fact-link.com.vn/mem_profile.php?id=00043834&page=00003974&lang=jp,会社名
j,861,ナカノプレシジョン,,ly@nakanos-s.com.vn,材質・形状・サイズ・数量に幅広く、柔軟に対応できる精密切削加工を行っています。,https://www.fact-link.com.vn/mem_profile.php?id=00043870&page=00003980&lang=jp,会社名
j,865,ユニマックス サイゴン,,odajima-s@unimaxsg.com,ユニフォームの企画、生産、販売。オフィスユニフォーム、サービスユニフォーム、作業服、白衣などユニフォーム全般,https://www.fact-link.com.vn/mem_profile.php?id=00043908&page=00004008&lang=jp,会社名
j,867,マンダリン ファウンドリー,,sales@mandarinfoundry.com,ベトナムでのFC材、FCD材などの鋳物加工メーカー,https://www.fact-link.com.vn/mem_profile.php?id=00043912&page=00003995&lang=jp,会社名
j,870,白銅株式会社　ベトナム駐在員事務所,,k.imaki@hakudo.co.jp,非鉄金属および鋼、プラスチック材料の専門商社,https://www.fact-link.com.vn/mem_profile.php?id=00043996&page=00004022&lang=jp,会社名
j,871,"Tin Dat Investment Produce Trading Service Co.,Ltd",,nishidaterukazu@mtxvn.com,ベトナムで安心・安全なレンタカーサービス！ 日系の同業他社に比して格安な料金体系、サービス面は、同等以上。,https://www.fact-link.com.vn/mem_profile.php?id=00044019&page=00004034&lang=jp,会社名
j,874,松本正 ㈱　ホーチミン事務所,,yamada@matsumotosho.com,ベトナムで電子化学材料、装置、工業材料を提供します。,https://www.fact-link.com.vn/mem_profile.php?id=00044105&page=00004082&lang=jp,会社名
j,883,アルテック アジア パシフィック ベトナム,,kitazawa@altech-vn.com,ベトナムで産業機械・機器の輸出入販売およびそれらに付随するサービスの提供をしております。,https://www.fact-link.com.vn/mem_profile.php?id=00044151&page=00004100&lang=jp,会社名
j,886,ヒロユキ（ベトナム）,,sales@hiroyuki-vietnam.com,PPバンド・PETバンド、包装用フィルム、結束紐、粘着テープ などお客様のニーズに適した製品を供給します。,https://www.fact-link.com.vn/mem_profile.php?id=00044156&page=00004105&lang=jp,会社名
j,902,"DOLIN TECHNOLOGY MANUFACTURING CO.,LTD",,info@dolin.com.tw,S?n xu?t m?y m?c c?ng nghi?p chuy?n nghi?p,https://www.fact-link.com.vn/mem_profile.php?id=00044222&page=00004140&lang=jp,会社名
j,909,栗原ベトナム,,kurihara@kurihara.vn,電気・空調・衛生等の設備工事をサポートします！,https://www.fact-link.com.vn/mem_profile.php?id=00044281&page=00004169&lang=jp,会社名
j,914,恒栄ベトナムトレーディング,,kouei.contact@kjt.co.jp,"TONE, キトー, エクセン, イーグルジャッキ, 寺岡テープ等の販売",https://www.fact-link.com.vn/mem_profile.php?id=00044370&page=00004205&lang=jp,会社名
j,927,オカムラベトナム,,m-kita@okamura-industry.co.jp,水処理エンジニアリング、排水給水設備の設計・施工・工事・メンテナンス　浄化槽・滅菌設備・飲料用水膜設備,https://www.fact-link.com.vn/mem_profile.php?id=00044686&page=00004284&lang=jp,会社名
j,929,"Showa Brain Navi Vietnam Co., Ltd",,man@group.showa-holdings.jp,Producing and trading rubber products,https://www.fact-link.com.vn/mem_profile.php?id=00044719&page=00004295&lang=jp,会社名
j,931,やまびこ ベトナム,,tyamaguchi@yamabiko-corp.co.jp,一般産業機械の部品製造,https://www.fact-link.com.vn/mem_profile.php?id=00044847&page=00004320&lang=jp,会社名
j,934,TINH HAサービス貿易株式会社,,tinhha@tinhha.vn,取扱商品は刃物、測定器、及び金属加工業界に関連する様々な設備まで多岐に渡り,https://www.fact-link.com.vn/mem_profile.php?id=00045003&page=00004357&lang=vn,CHI NH?NH T?I TP. H? CH? MINH
j,936,エフエルイー　ベトナム,,vinh@fle.com.vn,ローカライゼーション、テクニカル・ライティング、多言語翻訳、インタラクティブ・デジタルメディア設計、 情報技術ソリューション、およびアプリケーション開発など,https://www.fact-link.com.vn/mem_profile.php?id=00045081&page=00004378&lang=jp,会社名
j,937,高石工業 株式会社,,j-takaishi@takaishi-ind.co.jp,工業用精密ゴムパッキンの製造販売 （水・ガス・空気、油圧用パッキン）,https://www.fact-link.com.vn/mem_profile.php?id=00045125&page=00004389&lang=jp,会社名
j,939,SAI GON HYDRAULIC.JSC,,Thuylucsaigon@gmail.com,油圧シリンダー、油圧プレスシステムの製造および製造。 ハードクロームメッキ 金属の熱処理,https://www.fact-link.com.vn/mem_profile.php?id=00045133&page=00004392&lang=jp,会社名
j,942,藤本産業ベトナム,,s-murakami@fujimotosangyo.co.jp,ねじ・締結部品の専門商社　　各種ねじ・締結部品、機械加工部品、鋼材・鉄鋼製品、モノづくり関連用品,https://www.fact-link.com.vn/mem_profile.php?id=00045213&page=00004430&lang=jp,会社名
j,947,エンジェルメイド,,info@angelmaid-vn.com,ビル、オフィス、店舗掃、工場清掃のエンジェルメイドは、しっかりした管理体制で素早い対応を行 います。,https://www.fact-link.com.vn/mem_profile.php?id=00045430&page=00004456&lang=jp,会社名
j,948,ソーダニッカ　ベトナム,,y-nakayama@sodanikka.com.vn,無機・有機薬品、石油化学製品、合成樹脂製品などを扱う化学品および機能材の専門商社,https://www.fact-link.com.vn/mem_profile.php?id=00045459&page=00004465&lang=jp,会社名
j,952,テクノアソシエ ベトナム,,sadaaki-suzuki@technoassocie.co.jp,螺類、加工品、金属素材、電材品、化成品、産業機器等のベトナム国内販売及び輸出入,https://www.fact-link.com.vn/mem_profile.php?id=00045562&page=00004490&lang=jp,会社名
j,955,日本セイフティー　ベトナム,,t-kobayashi@nihonsafety.com,建築・土木・解体・リニューアルなどの工事に用いる総合仮設の販売（仮設トイレ、仮設ハウス等）,https://www.fact-link.com.vn/mem_profile.php?id=00045614&page=00004509&lang=jp,会社名
j,957,ジュピター　パシフィック　フォワーディング,,sgnoffice@jupiterpacific.com.vn,国際総合物流企業,https://www.fact-link.com.vn/mem_profile.php?id=00045741&page=00004547&lang=jp,会社名
